date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1871-09-10,1,15.6,11.1,13.4,0.0,5.35
1871-09-11,1,20.6,10.6,15.6,0.0,7.6
1871-09-12,1,18.3,6.7,12.5,0.0,4.5
1871-09-13,1,14.4,11.1,12.8,5.1,4.75
1871-09-14,1,12.2,4.4,8.3,0.0,0.3
1871-09-15,1,12.8,4.4,8.6,0.0,0.6
1871-09-16,1,11.7,8.9,10.3,34.5,2.3
1871-09-17,1,13.9,11.1,12.5,0.5,4.5
1871-09-18,1,13.9,6.7,10.3,0.0,2.3
1871-09-19,1,12.2,3.9,8.1,0.0,0.05
1871-09-20,1,13.3,10.6,12.0,3.8,3.95
1871-09-21,1,13.9,6.1,10.0,0.0,2.0
1871-09-22,1,11.7,3.9,7.8,0.0,0.0
1871-09-23,1,12.8,7.2,10.0,0.0,2.0
1871-09-24,1,12.8,10.0,11.4,0.0,3.4
1871-09-25,1,16.7,9.4,13.1,0.0,5.05
1871-09-26,1,17.8,8.3,13.1,0.0,5.05
1871-09-27,1,15.0,12.2,13.6,10.4,5.6
1871-09-28,1,13.3,9.4,11.4,0.0,3.35
1871-09-29,1,12.8,6.7,9.8,0.3,1.75
1871-09-30,1,12.8,6.1,9.5,0.0,1.45
1871-11-04,1,2.2,-5.0,-1.4,0.0,0.0
1871-11-05,1,1.7,-5.6,-2.0,0.0,0.0
1871-11-06,1,1.7,-3.3,-0.8,0.0,0.0
1871-11-07,1,2.2,-1.1,0.6,0.0,0.0
1871-11-08,1,0.6,-3.3,-1.4,0.0,0.0
1871-11-09,1,2.8,-2.2,0.3,1.8,0.0
1871-11-10,1,4.4,-3.3,0.6,0.0,0.0
1871-11-11,1,4.4,-1.7,1.4,0.0,0.0
1871-11-12,1,5.0,-0.6,2.2,0.0,0.0
1871-11-13,1,3.3,-2.8,0.3,0.0,0.0
1871-11-14,1,2.2,-5.0,-1.4,0.0,0.0
1871-11-15,1,2.8,-1.1,0.9,0.0,0.0
1871-11-16,1,3.3,0.0,1.7,0.0,0.0
1871-11-17,1,3.3,-0.6,1.4,7.6,0.0
1871-11-18,1,2.8,-2.8,0.0,0.0,0.0
1871-11-19,1,3.9,-4.4,-0.3,0.0,0.0
1871-11-20,1,5.6,-4.4,0.6,0.0,0.0
1871-11-21,1,7.8,3.3,5.6,9.4,0.0
1871-11-22,1,3.3,0.6,2.0,0.0,0.0
1871-11-23,1,2.2,-7.8,-2.8,14.5,0.0
1871-11-24,1,1.7,-10.6,-4.5,0.0,0.0
1871-11-25,1,2.8,-1.1,0.9,10.7,0.0
1871-11-26,1,3.9,-5.0,-0.6,10.9,0.0
1871-11-27,1,4.4,-8.9,-2.3,1.3,0.0
1871-11-28,1,-8.9,-17.8,-13.4,2.0,0.0
1871-11-29,1,-6.7,-15.0,-10.9,0.0,0.0
1871-11-30,1,-12.8,-17.2,-15.0,0.0,0.0
1871-12-01,2,-9.45,-15.85,-12.7,0.0,0.0
1871-12-02,2,-10.3,-14.7,-12.55,0.0,0.0
1871-12-03,2,-1.4,-14.2,-7.8,0.0,0.0
1871-12-04,2,6.1,-4.45,0.85,6.2,0.0
1871-12-05,2,5.85,-15.8,-5.0,10.15,0.0
1871-12-06,2,-13.9,-17.75,-15.85,0.15,0.0
1871-12-07,2,-1.4,-18.6,-10.05,3.8,0.0
1871-12-08,2,0.55,-6.95,-3.25,3.45,0.0
1871-12-09,2,-4.45,-13.05,-8.75,1.65,0.0
1871-12-10,2,-7.2,-19.75,-13.5,0.0,0.0
1871-12-11,2,-2.2,-16.1,-9.15,2.3,0.0
1871-12-12,2,-3.35,-10.3,-6.85,0.0,0.0
1871-12-13,2,-8.6,-16.4,-12.5,0.0,0.0
1871-12-14,2,-5.85,-10.85,-8.4,5.35,0.0
1871-12-15,2,-6.4,-12.2,-9.35,3.3,0.0
1871-12-16,2,-8.6,-13.6,-11.15,0.0,0.0
1871-12-17,2,-3.65,-14.7,-9.2,0.0,0.0
1871-12-18,2,-1.1,-11.1,-6.15,1.9,0.0
1871-12-19,2,0.55,-4.45,-2.0,5.7,0.0
1871-12-20,2,-1.65,-13.3,-7.5,3.8,0.0
1871-12-21,2,-13.3,-24.7,-19.0,0.5,0.0
1871-12-22,2,-12.2,-26.95,-19.6,0.0,0.0
1871-12-23,2,-0.3,-18.9,-9.6,2.55,0.0
1871-12-24,2,7.75,-3.1,2.35,30.9,0.0
1871-12-25,2,4.7,-1.95,1.4,0.0,0.0
1871-12-26,2,2.8,-6.1,-1.65,0.0,0.0
1871-12-27,2,0.25,-7.75,-3.75,5.5,0.0
1871-12-28,2,-6.95,-16.95,-11.95,6.5,0.0
1871-12-29,2,-5.8,-16.7,-11.25,0.4,0.0
1871-12-30,2,-9.15,-18.35,-13.8,0.65,0.0
1871-12-31,2,-7.5,-17.75,-12.65,2.8,0.0
1872-01-01,2,2.2,-10.25,-4.05,12.2,0.0
1872-01-02,2,-8.3,-15.55,-11.95,0.0,0.0
1872-01-03,2,-10.55,-20.0,-15.3,0.0,0.0
1872-01-04,2,0.25,-10.85,-5.3,22.0,0.0
